"SOURCETY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Coal",2005,50,0.14166493832403,NA,NA,NA,NA
"Coal",2006,50,0.148404290675045,2005,0.14166493832403,0.0475724793357172,0.00673935235101555
"Coal",2007,50,0.154813644935531,2006,0.148404290675045,0.0431884700323091,0.00640935426048528
"Coal",2008,50,0.145810277998986,2007,0.154813644935531,-0.0581561589115342,-0.00900336693654455
"Coal",2009,50,0.120771752477143,2008,0.145810277998986,-0.171719894272592,-0.0250385255218431
"Coal",2010,50,0.119927174146778,2009,0.120771752477143,-0.00699317773438125,-0.000844578330365359
"Coal",2011,50,0.127689017909504,2010,0.119927174146778,0.0647213095609741,0.00776184376272644
"Coal",2012,50,0.111429564230101,2011,0.127689017909504,-0.127336351595459,-0.0162594536794035
"Coal",2013,50,0.113831665836101,2012,0.111429564230101,0.0215571300363315,0.00240210160600003
"Coal",2014,50,0.0970619385248152,2013,0.113831665836101,-0.147320406743683,-0.0167697273112853
"Coal",2015,50,0.0910774847954341,2014,0.0970619385248152,-0.0616560293389481,-0.00598445372938118
"Coal",2016,50,0.0834862950094064,2015,0.0910774847954341,-0.0833486981231191,-0.0075911897860276
"Coal",2017,50,0.0812832831583709,2016,0.0834862950094064,-0.0263877065186245,-0.00220301185103552
"Coal",2018,50,0.0743358868478034,2017,0.0812832831583709,-0.0854714037206311,-0.0069473963105675
"Coal",2019,50,0.0733006598765607,2018,0.0743358868478034,-0.0139263418402779,-0.00103522697124273
"Coal",2020,2,0.048407659482189,2019,0.0733006598765607,-0.339601313771142,-0.0248930003943717
"Coal",2020,20,0.0458491224318036,2020,0.048407659482189,-0.0528539714118338,-0.0025585370503854
"Coal",2020,50,0.0576170303243222,2020,0.0458491224318036,0.256665935319095,0.0117679078925186
"Coal",2020,200,0.0127079902140263,2020,0.0576170303243222,-0.779440381732729,-0.0449090401102959
"Oil & Gas",2005,50,0.0967298061586656,NA,NA,NA,NA
"Oil & Gas",2006,50,0.0965885886818422,2005,0.0967298061586656,-0.00145991688013669,-0.000141217476823385
"Oil & Gas",2007,50,0.0965588107509463,2006,0.0965885886818422,-0.000308296573148142,-2.97779308958274e-05
"Oil & Gas",2008,50,0.0979022315826262,2007,0.0965588107509463,0.0139129802990731,0.00134342083167985
