"COUNTRY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Mexico",2016,50,0.0948250588018294,2015,0.0927229167939096,0.02267122390673,0.00210214200791982
"Mexico",2017,50,0.0863762720251007,2016,0.0948250588018294,-0.0890986716326262,-0.00844878677672867
"Mexico",2018,50,0.0690902925066302,2017,0.0863762720251007,-0.200124167357526,-0.0172859795184705
"Mexico",2019,50,0.0732590116305916,2018,0.0690902925066302,0.0603372626271824,0.0041687191239614
"Mexico",2020,2,0.135957286105411,2019,0.0732590116305916,0.855843848821975,0.0626982744748193
"Mexico",2020,20,0.128279319960069,2020,0.135957286105411,-0.0564733701685453,-0.00767796614534169
"Mexico",2020,50,0.0633821918733662,2020,0.128279319960069,-0.505904834129961,-0.0648971280867031
"Mexico",2020,200,0.0735714857766431,2020,0.0633821918733662,0.160759569874681,0.0101892939032769
"Morocco",2005,50,0.0741745226691577,NA,NA,NA,NA
"Morocco",2006,50,0.0762123774404665,2005,0.0741745226691577,0.0274737834228918,0.00203785477130881
"Morocco",2007,50,0.081393782126665,2006,0.0762123774404665,0.0679863935519654,0.00518140468619849
"Morocco",2008,50,0.0833385633227952,2007,0.081393782126665,0.023893486029482,0.00194478119613017
"Morocco",2009,50,0.0735394406049436,2008,0.0833385633227952,-0.117582093176921,-0.0097991227178516
"Morocco",2010,50,0.0790042886281396,2009,0.0735394406049436,0.0743117975638861,0.005464848023196
"Morocco",2011,50,0.0650976635355917,2010,0.0790042886281396,-0.176023673322396,-0.0139066250925479
"Morocco",2012,50,0.0604822572222838,2011,0.0650976635355917,-0.070899723010556,-0.00461540631330782
"Morocco",2013,50,0.0810879104176742,2012,0.0604822572222838,0.340689222620456,0.0206056531953903
"Morocco",2014,50,0.0622249429031277,2013,0.0810879104176742,-0.232623672473314,-0.0188629675145464
"Morocco",2015,50,0.0631808359985011,2014,0.0622249429031277,0.0153618959018008,0.000955893095373347
"Morocco",2016,50,0.0587640509697113,2015,0.0631808359985011,-0.0699070368251312,-0.00441678502878979
"Morocco",2017,50,0.0785497944776654,2016,0.0587640509697113,0.336698086354738,0.0197857435079541
"Morocco",2018,50,0.0639218955067182,2017,0.0785497944776654,-0.186224535254595,-0.0146278989709472
"Morocco",2019,50,0.0586347586623253,2018,0.0639218955067182,-0.0827124540422494,-0.0052871368443929
"Morocco",2020,2,0.0455430606337772,2019,0.0586347586623253,-0.223275380119539,-0.0130916980285481
"Morocco",2020,20,0.0455430606337772,2020,0.0455430606337772,0,0
"Morocco",2020,50,0.0198638538702307,2020,0.0455430606337772,-0.563844555157133,-0.0256792067635465
"Morocco",2020,200,0.0146737949334459,2020,0.0198638538702307,-0.261281570569897,-0.00519005893678482
"Namibia",2005,50,0.0355684368227102,NA,NA,NA,NA
"Namibia",2006,50,0.0218024141219479,2005,0.0355684368227102,-0.387029173347668,-0.0137660227007623
"Namibia",2007,50,0.0319698091433486,2006,0.0218024141219479,0.466342624469525,0.0101673950214006
"Namibia",2008,50,0.0356851122850297,2007,0.0319698091433486,0.116212865864233,0.0037153031416811
"Namibia",2009,50,0.0427115033459359,2008,0.0356851122850297,0.19689978848277,0.00702639106090625
"Namibia",2010,50,0.048808109576645,2009,0.0427115033459359,0.142739209653439,0.00609660623070912
"Namibia",2011,50,0.0496488360950517,2010,0.048808109576645,0.0172251399552042,0.000840726518406651
"Namibia",2012,50,0.0573430331922337,2011,0.0496488360950517,0.154972355896756,0.00769419709718204
"Namibia",2013,50,0.0487739863302459,2012,0.0573430331922337,-0.149434837764187,-0.00856904686198781
"Namibia",2014,50,0.0403785721411898,2013,0.0487739863302459,-0.172128932259324,-0.00839541418905609
"Namibia",2015,50,0.0616563543751013,2014,0.0403785721411898,0.526957272275762,0.0212777822339115
"Namibia",2016,50,0.0175627426966259,2015,0.0616563543751013,-0.71515113284547,-0.0440936116784754
"Namibia",2017,50,0.0289341663013345,2016,0.0175627426966259,0.647474247111376,0.0113714236047086
"Namibia",2018,50,0.0288326757132865,2017,0.0289341663013345,-0.00350763823609127,-0.000101490588047985
"Namibia",2019,50,0.0177518481020956,2018,0.0288326757132865,-0.38431492523896,-0.0110808276111909
"Namibia",2020,2,-0.0365257176625378,2019,0.0177518481020956,-3.0575726793328,-0.0542775657646334
"Namibia",2020,20,-0.0365257176625378,2020,-0.0365257176625378,0,0
"Namibia",2020,50,0.0183193647293076,2020,-0.0365257176625378,-1.50154701677762,0.0548450823918454
"Namibia",2020,200,0.0304884620164817,2020,0.0183193647293076,0.664275069959486,0.0121690972871741
"Oman",2005,50,0.124712362792853,NA,NA,NA,NA
"Oman",2006,50,0.128354432131401,2005,0.124712362792853,0.029203755401519,0.00364206933854797
"Oman",2007,50,0.102650029706438,2006,0.128354432131401,-0.200261120696233,-0.0257044024249628
"Oman",2008,50,0.0983601321946543,2007,0.102650029706438,-0.0417914882640741,-0.00428989751178345
"Oman",2009,50,0.1000206971942,2008,0.0983601321946543,0.0168825006889971,0.0016605649995461
"Oman",2010,50,0.126492469204582,2009,0.1000206971942,0.264662942300676,0.026471772010382
"Oman",2011,50,0.116122231580258,2010,0.126492469204582,-0.0819830436510173,-0.0103702376243242
"Oman",2012,50,0.078700631875793,2011,0.116122231580258,-0.32226042502982,-0.0374215997044652
"Oman",2013,50,0.084411803929633,2012,0.078700631875793,0.0725683125753489,0.00571117205384002
"Oman",2014,50,0.0914494495727252,2013,0.084411803929633,0.083372766786963,0.00703764564309214
"Oman",2015,50,0.0999311916600523,2014,0.0914494495727252,0.0927478746668896,0.00848174208732716
"Oman",2016,50,0.0517437850862114,2015,0.0999311916600523,-0.482205863588275,-0.0481874065738409
"Oman",2017,50,0.056097882493138,2016,0.0517437850862114,0.0841472536203556,0.0043540974069266
"Oman",2018,50,0.075339037987965,2017,0.056097882493138,0.342992545167468,0.019241155494827
"Oman",2019,50,0.0747870473029641,2018,0.075339037987965,-0.00732675515566176,-0.000551990685000919
"Oman",2020,2,-0.0794532762042114,2019,0.0747870473029641,-2.06239354366197,-0.154240323507175
"Oman",2020,20,-0.0794532762042114,2020,-0.0794532762042114,0,0
"Oman",2020,50,0.0713116872148643,2020,-0.0794532762042114,-1.89752985177828,0.150764963419076
"Oman",2020,200,0.0177724284042591,2020,0.0713116872148643,-0.750778180991424,-0.0535392588106052
"Pakistan",2005,50,0.0459823383551886,NA,NA,NA,NA
"Pakistan",2006,50,0.063426307790769,2005,0.0459823383551886,0.3793623825921,0.0174439694355804
