"SOURCETY","year_offsetted","value","variance","upr","lwr"
"Coal",2008,36961.7470526302,567677.039656178,38438.496224136,35484.9978811244
"Coal",2009,28094.9494033157,518189.445338727,29505.8627859205,26684.0360207109
"Coal",2010,28576.1924400692,574138.844600853,30061.3226651399,27091.0622149985
"Coal",2011,29056.2835682071,585502.541874841,30556.0390699028,27556.5280665115
"Coal",2012,27720.0061930023,575924.619719459,29207.4442653651,26232.5681206395
"Coal",2013,24536.7477053211,526839.664807407,25959.3886495948,23114.1067610473
"Coal",2014,22909.7502702884,525225.758227008,24330.2105030316,21489.2900375452
"Coal",2015,19871.5507550353,517759.035039004,21281.8780606654,18461.2234494052
"Coal",2016,18435.9650994315,531220.749818353,19864.5089848274,17007.4212140355
"Coal",2017,17322.3760022128,522994.455072815,18739.8157711652,15904.9362332605
"Coal",2018,16234.474697189,527230.037609644,17657.6426115551,14811.3067828229
"Coal",2019,17062.3424994216,531310.737401883,18491.007375732,15633.6776231112
"Coal",2020,16285.841206456,594864.717687643,17797.5396881212,14774.1427247908
"Oil & Gas",2008,11557.3598099083,173905.683784552,12374.719017862,10740.0006019546
"Oil & Gas",2009,11470.2201887365,175907.754246366,12292.2708129153,10648.1695645576
"Oil & Gas",2010,10673.6223923305,175547.447349079,11494.8306933944,9852.4140912666
"Oil & Gas",2011,11312.3055228715,198913.92678845,12186.4609673724,10438.1500783707
"Oil & Gas",2012,10408.6928387429,186705.54530535,11255.5978055751,9561.78787191075
"Oil & Gas",2013,10126.302372972,183300.693405438,10965.4495256135,9287.15522033053
"Oil & Gas",2014,9959.00706727086,170002.069203041,10767.1406880604,9150.87344648132
"Oil & Gas",2015,9889.26857934107,182526.563880918,10726.64188188,9051.89527680215
"Oil & Gas",2016,11378.9506200268,190030.017295085,12233.3622974054,10524.5389426483
"Oil & Gas",2017,10719.4007162909,184298.55206446,11560.8288579708,9877.97257461105
"Oil & Gas",2018,9800.01228456293,183956.686087618,10640.6596572908,8959.36491183511
"Oil & Gas",2019,10035.7562836289,197744.339953752,10907.3379816735,9164.17458558425
"Oil & Gas",2020,9469.67030082906,214162.615184248,10376.7133552051,8562.62724645303
"Smelter",2008,7680.59914510852,136589.385224569,8404.97596850826,6956.22232170877
"Smelter",2009,7125.52517958875,134182.871644837,7843.49239312347,6407.55796605404
"Smelter",2010,6782.6544116962,155612.052444177,7555.82920478606,6009.47961860633
"Smelter",2011,6760.76908532158,146710.957138777,7511.5052659765,6010.03290466667
"Smelter",2012,6520.14504163772,150286.310108084,7279.97389665128,5760.31618662417
"Smelter",2013,6106.63809775649,148196.267446285,6861.16495680238,5352.11123871061
"Smelter",2014,6276.58633301468,154213.735638339,7046.27944512381,5506.89322090555
"Smelter",2015,6309.84515970698,160077.82245566,7094.03580154458,5525.65451786939
"Smelter",2016,5823.30794322075,134970.026790738,6543.377977953,5103.2379084885
"Smelter",2017,5659.07088271348,143583.549545811,6401.76231523118,4916.37945019579
"Smelter",2018,5588.76047051646,156158.457946293,6363.29151059586,4814.22943043706
"Smelter",2019,5544.09474633903,143890.790972695,6287.58036328175,4800.6091293963
"Smelter",2020,5724.90345184797,172015.110630438,6537.80765838026,4911.99924531569
