"COUNTRY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Armenia",2005,50,-0.00489758762736645,NA,NA,NA,NA
"Armenia",2006,50,-0.000715196634352092,2005,-0.00489758762736645,-0.853969609373448,0.00418239099301436
"Armenia",2007,50,0.0163664446941081,2006,-0.000715196634352092,-23.8838390842467,0.0170816413284602
"Armenia",2008,50,0.00498110832265309,2007,0.0163664446941081,-0.695651168243871,-0.011385336371455
"Armenia",2009,50,0.0214204528986315,2008,0.00498110832265309,3.30033870197432,0.0164393445759784
"Armenia",2010,50,0.00623974898028708,2009,0.0214204528986315,-0.70870135146929,-0.0151807039183444
"Armenia",2011,50,0.0440840923811664,2010,0.00623974898028708,6.06504260354687,0.0378443434008793
"Armenia",2012,50,0.0319361657991984,2011,0.0440840923811664,-0.275562587904334,-0.0121479265819679
"Armenia",2013,50,0.000216771261529411,2012,0.0319361657991984,-0.993212357961429,-0.031719394537669
"Armenia",2014,50,0.010758788442132,2013,0.000216771261529411,48.6319870365855,0.0105420171806026
"Armenia",2015,50,0.0358355612425973,2014,0.010758788442132,2.33081753910722,0.0250767728004653
"Armenia",2016,50,0.0257017973971664,2015,0.0358355612425973,-0.282785130022884,-0.0101337638454309
"Armenia",2017,50,-0.00729399670395527,2016,0.0257017973971664,-1.28379325349283,-0.0329957941011217
"Armenia",2018,50,-0.00619798952749449,2017,-0.00729399670395527,-0.150261539858725,0.00109600717646079
"Armenia",2019,50,-0.0239772208088689,2018,-0.00619798952749449,2.86854813202009,-0.0177792312813744
"Armenia",2020,2,-0.0446439577887456,2019,-0.0239772208088689,0.861932129024407,-0.0206667369798767
"Armenia",2020,20,-0.0446439577887456,2020,-0.0446439577887456,0,0
"Armenia",2020,50,-0.0149080305680242,2020,-0.0446439577887456,-0.666068348183449,0.0297359272207214
"Armenia",2020,200,-0.0457559930246256,2020,-0.0149080305680242,2.06921781625309,-0.0308479624566014
"Aruba",2005,50,0.0871763860446268,NA,NA,NA,NA
"Aruba",2006,50,0.0590217855043603,2005,0.0871763860446268,-0.322961318055257,-0.0281546005402666
"Aruba",2007,50,0.0479102710766276,2006,0.0590217855043603,-0.188261238333967,-0.0111115144277326
"Aruba",2008,50,0.0630450424527259,2007,0.0479102710766276,0.315898262230487,0.0151347713760982
"Aruba",2009,50,0.0160851694359142,2008,0.0630450424527259,-0.744862263389296,-0.0469598730168116
"Aruba",2010,50,0.0346572330012416,2009,0.0160851694359142,1.15460789140713,0.0185720635653274
"Aruba",2011,50,0.0449864843483295,2010,0.0346572330012416,0.298040277673579,0.010329251347088
"Aruba",2012,50,0.0309219894859148,2011,0.0449864843483295,-0.312638230485263,-0.0140644948624147
