"COUNTRY","year_offsetted","value","variance","upr","lwr"
"Botswana",2014,87.2287113573614,1292.35762783641,157.68948812782,16.7679345869031
"Botswana",2015,323.317130628598,1807.48144691079,406.645521507413,239.988739749784
"Botswana",2016,180.702840244255,371.123838679827,218.46140667192,142.94427381659
"Botswana",2017,36.1371894161011,792.405397069989,91.3105940000496,-19.0362151678474
"Botswana",2018,0,818.682694207777,56.0807581802225,-56.0807581802225
"Botswana",2019,46.4613689958149,1014.44451448286,108.888046360843,-15.9653083692137
"Botswana",2020,0,1367.3957401853,72.4774963384901,-72.4774963384901
"Brazil",2008,165.281483658018,947.949841214227,225.627520064799,104.935447251237
"Brazil",2009,106.029901426244,981.720410076896,167.441440466977,44.6183623855118
"Brazil",2010,155.511800879301,1324.07385921088,226.831939252305,84.1916625062962
"Brazil",2011,96.575663360161,1601.62388919204,175.015438555658,18.1358881646637
"Brazil",2012,101.234444497078,1086.30624492338,165.834398603081,36.6344903910753
"Brazil",2013,138.187072391038,1080.94752272563,202.627494513358,73.7466502687185
"Brazil",2014,119.79850779354,996.085567269628,181.657721458305,57.9392941287753
"Brazil",2015,95.3968286475556,1609.36956106929,174.026047808144,16.7676094869674
"Brazil",2016,109.696564810029,830.411401134831,166.177609759637,53.2155198604221
"Brazil",2017,130.404111881826,1040.1515968868,193.616819264126,67.1914044995254
"Brazil",2018,94.7881835113303,1001.89274499363,156.827454696343,32.7489123263178
"Brazil",2019,94.7018877635478,1159.82942275578,161.452173983598,27.9516015434977
"Brazil",2020,163.230805699046,1366.51861997802,235.685052852043,90.7765585460493
"Bulgaria",2008,707.015391183241,4885.72149750203,844.015346310254,570.015436056227
"Bulgaria",2009,602.568726606014,2459.6561525572,699.774771045975,505.362682166052
"Bulgaria",2010,487.531348122759,3146.72251673301,597.478832042499,377.583864203019
"Bulgaria",2011,612.336054314609,3663.64014355069,730.970956326894,493.701152302325
"Bulgaria",2012,468.249760248382,2798.02144688382,571.926561850036,364.572958646727
"Bulgaria",2013,292.259921512264,4952.43794107211,430.192099028689,154.327743995838
"Bulgaria",2014,309.794460542249,1919.8425806318,395.67383674955,223.915084334948
"Bulgaria",2015,279.621143379792,3153.10240543917,389.680028531038,169.562258228546
"Bulgaria",2016,121.863588556513,2251.73579120688,214.87040666949,28.856770443536
"Bulgaria",2017,269.417444345116,1999.84441312035,357.067899548972,181.76698914126
"Bulgaria",2018,204.922023063871,2955.42501098218,311.475111813983,98.3689343137599
"Bulgaria",2019,265.851778174246,1805.59484038328,349.136669594097,182.566886754394
"Bulgaria",2020,242.227216000122,2223.30878422816,334.645087786324,149.80934421392
"Canada",2008,697.903241787722,6568.53900428279,856.754428244899,539.052055330545
"Canada",2009,603.520455358403,6119.4658321138,756.845404210989,450.195506505816
"Canada",2010,510.768054604167,7455.92182148552,680.009507178348,341.526602029986
"Canada",2011,356.463847267532,6463.51558425561,514.039992252985,198.88770228208
"Canada",2012,414.273824096862,4737.85447982758,549.184690114784,279.36295807894
"Canada",2013,376.245847034369,4026.16778779578,500.611944398547,251.87974967019
