"SOURCETY","year_offsetted","value","variance","upr","lwr"
"Coal",2008,36961.7470526302,220364.670855266,37881.830157332,36041.6639479285
"Coal",2009,28094.9494033157,170877.076537816,28905.1601025956,27284.7387040358
"Coal",2010,28576.1924400692,226826.475799941,29509.6679830981,27642.7168970403
"Coal",2011,29056.2835682071,238190.173073929,30012.8562883287,28099.7108480856
"Coal",2012,27720.0061930023,228612.250918547,28657.1490973284,26782.8632886762
"Coal",2013,24536.7477053211,179527.296006495,25367.2126716734,23706.2827389688
"Coal",2014,22909.7502702884,177913.389426096,23736.4739706982,22083.0265698786
"Coal",2015,19871.5507550353,170446.666238092,20680.7404194652,19062.3610906053
"Coal",2016,18435.9650994315,183908.381017441,19276.502092381,17595.4281064819
"Coal",2017,17322.3760022128,175682.086271903,18143.8991623381,16500.8528420876
"Coal",2018,16234.474697189,179917.668808732,17065.8420747638,15403.1073196142
"Coal",2019,17062.3424994216,183998.368600971,17903.0851073686,16221.5998914746
"Coal",2020,16285.841206456,247552.348886731,17261.0320100854,15310.6504028267
"Oil & Gas",2008,11557.3598099083,59981.2505812491,12037.3847803347,11077.3348394818
"Oil & Gas",2009,11470.2201887365,61983.3210430631,11958.1906039452,10982.2497735277
"Oil & Gas",2010,10673.6223923305,61623.0141457769,11160.1724628704,10187.0723217905
"Oil & Gas",2011,11312.3055228715,84989.4935851472,11883.7034915035,10740.9075542396
"Oil & Gas",2012,10408.6928387429,72781.1121020475,10937.4611436282,9879.92453385769
"Oil & Gas",2013,10126.302372972,69376.260202135,10642.5540956738,9610.05065027028
"Oil & Gas",2014,9959.00706727086,56077.6359997387,10423.1491214489,9494.86501309283
"Oil & Gas",2015,9889.26857934107,68602.1306776156,10402.6319450102,9375.90521367195
"Oil & Gas",2016,11378.9506200268,76105.5840917823,11919.6605347195,10838.2407053341
"Oil & Gas",2017,10719.4007162909,70374.1188611571,11239.3518822835,10199.4495502984
"Oil & Gas",2018,9800.01228456293,70032.2528843153,10318.6989941289,9281.32557499695
"Oil & Gas",2019,10035.7562836289,83819.9067504497,10603.2089722052,9468.30359505252
"Oil & Gas",2020,9469.67030082906,100238.181980945,10090.2144168257,8849.12618483246
"Smelter",2008,7680.59914510852,52612.1886445725,8130.17114590148,7231.02714431555
"Smelter",2009,7125.52517958875,50205.6750648398,7564.69498880734,6686.35537037017
"Smelter",2010,6782.6544116962,71634.8558641799,7307.2423092766,6258.06651411579
"Smelter",2011,6760.76908532158,62733.76055878,7251.68457149269,6269.85359915048
"Smelter",2012,6520.14504163772,66309.1135280877,7024.85593960754,6015.43414366791
"Smelter",2013,6106.63809775649,64219.0708662887,6603.3311444563,5609.94505105669
"Smelter",2014,6276.58633301468,70236.5390583419,6796.02900400593,5757.14366202343
"Smelter",2015,6309.84515970698,76100.6258756634,6850.53746071001,5769.15285870395
"Smelter",2016,5823.30794322075,50992.8302107413,6265.90714852684,5380.70873791466
"Smelter",2017,5659.07088271348,59606.3529658145,6137.59336447738,5180.54840094959
"Smelter",2018,5588.76047051646,72181.2613662967,6115.3452534952,5062.17568753772
"Smelter",2019,5544.09474633903,59913.5943926983,6023.84891695038,5064.34057572767
"Smelter",2020,5724.90345184797,88037.9140504412,6306.45865182144,5143.34825187451
