"COUNTRY","year_offsetted","value","variance","upr","lwr"
"Albania",2008,25.7085179073366,1087.35815115795,90.3397415804838,-38.9227057658107
"Albania",2009,17.8207678460572,1150.0939222194,84.2903158481163,-48.6487801560019
"Albania",2010,18.7734798291434,1213.86683572891,87.0610397221149,-49.5140800638282
"Albania",2011,21.8426981645668,1782.26451401021,104.587772682762,-60.902376353628
"Albania",2012,20.2782936731634,1171.00622780681,87.3494314653809,-46.7928441190541
"Albania",2013,20.9261543171729,1088.27365259917,85.5845804024479,-43.732271768102
"Albania",2014,29.6443661815536,1441.12334596354,104.050141803165,-44.7614094400574
"Albania",2015,16.4601044063057,1414.47289227756,90.1746827675327,-57.2544739549213
"Albania",2016,38.9195583105666,1835.96447123919,122.901944039435,-45.062827418302
"Albania",2017,15.5631062598982,1323.55052009379,86.869148626533,-55.7429361067367
"Albania",2018,16.1432991322679,1413.96483835551,89.8446378109277,-57.558039546392
"Albania",2019,16.8266071416981,1785.17677648513,99.6392577727778,-65.9860434893817
"Albania",2020,18.6374042356675,1831.0710836709,102.507796359647,-65.2329878883123
"Armenia",2008,39.0120838518667,991.188772991761,100.719059068005,-22.694891364272
"Armenia",2009,39.6940858773427,1109.67430984585,104.985163588649,-25.5969918339633
"Armenia",2010,37.9518324468195,1032.77343001869,100.939945680665,-25.0362807870264
"Armenia",2011,45.1779585880704,2033.37561182333,133.560172581501,-43.2042554053599
"Armenia",2012,40.6530293983297,1311.6108997587,111.63672071199,-30.3306619153306
"Armenia",2013,21.2417827804713,1258.90077414738,90.7845265713557,-48.3009610104131
"Armenia",2014,23.401354778518,1141.59883863126,89.6249615851988,-42.8222520281628
"Armenia",2015,34.5089629745484,1102.47574211792,99.5879212553951,-30.5699953062983
"Armenia",2016,43.5728700157163,1249.63436613957,112.85919897722,-25.7134589457879
"Armenia",2017,55.7659781125196,1306.85953203391,126.6209820167,-15.0890257916611
"Armenia",2018,54.3790961346155,1143.78103071994,120.665966686888,-11.907774417657
"Armenia",2019,0,1474.50632726834,75.2626302146959,-75.2626302146959
"Armenia",2020,18.5286028307089,1355.84577717656,90.6993527062746,-53.6421470448568
"Aruba",2008,225.090895685982,1510.76602960753,301.273300343096,148.908491028868
"Aruba",2009,230.529770149202,1745.92651827989,312.426969812097,148.632570486307
"Aruba",2010,71.9058970937113,1293.06559806187,142.385970884213,1.42582330321011
"Aruba",2011,236.704260694419,1511.1008600665,312.895107021464,160.513414367373
"Aruba",2012,194.215689661964,1332.31428287574,265.757415592329,122.673963731599
"Aruba",2013,100.621645776611,1453.35820406284,175.342599174757,25.900692378466
"Aruba",2014,82.7977603954716,1233.49590916849,151.63523481647,13.9602859744729
"Aruba",2015,109.097905742121,1593.96895990882,187.350005754745,30.8458057294967
"Aruba",2016,63.5214370392373,1297.07363911331,134.110657831209,-7.06778375273396
"Aruba",2017,77.7749604872454,1502.42074850705,153.746662768191,1.80325820629949
"Aruba",2018,0,1549.87627060887,77.1621972287664,-77.1621972287664
"Aruba",2019,34.4205414107021,1312.8885785548,105.438797960523,-36.5977151391184
"Aruba",2020,29.5783049300742,1900.33296593531,115.020209882721,-55.8636000225723
"Australia",2008,923.276195319657,13628.1398341519,1152.08585854846,694.466532090854
"Australia",2009,883.328496069375,13760.2974998135,1113.24491321979,653.412078918961
"Australia",2010,884.72828208095,15818.374970905,1131.239679968,638.216884193898
"Australia",2011,899.733831433933,17091.8849068571,1155.97626558211,643.491397285757
"Australia",2012,794.289882006281,14574.7119874751,1030.9123948217,557.667369190859
"Australia",2013,904.136138305977,14236.8438835272,1137.9999009178,670.272375694156
"Australia",2014,800.605356946253,13491.1137743072,1028.26181452077,572.948899371734
"Australia",2015,858.052048272913,13845.1334947691,1088.67612514587,627.427971399953
"Australia",2016,688.206129388378,15085.6426749226,928.940432926496,447.47182585026
"Australia",2017,733.548065344405,14593.4305719891,970.322478838248,496.773651850562
"Australia",2018,697.223129823599,14850.2654428222,936.071993595537,458.374266051661
"Australia",2019,763.310657767269,15125.2935113262,1004.36112458513,522.260190949404
"Australia",2020,671.047172513176,16695.9986163455,924.304646804761,417.789698221591
"Bangladesh",2008,15.314672259354,1004.50270253194,77.434697871444,-46.8053533527359
"Bangladesh",2009,16.1636241324192,1052.31975488806,79.7450016763038,-47.4177534114653
"Bangladesh",2010,25.5047603923975,1314.51222782145,96.5669175113514,-45.5573967265563
"Bangladesh",2011,14.7560774165753,1633.97188249521,93.9840168306076,-64.4718619974571
"Bangladesh",2012,25.9427299727779,1060.42825214608,89.7685959946689,-37.8831360491132
"Bangladesh",2013,17.4057618577301,1053.43840475431,81.0209249535216,-46.2094012380613
"Bangladesh",2014,28.530799555785,1106.70080923995,93.7343410913196,-36.6727419797497
"Bangladesh",2015,14.1725266189966,1292.65187897938,84.6413243828807,-56.2962711448875
"Bangladesh",2016,32.4064963582608,1503.12380446292,108.395971992882,-43.5829792763609
"Bangladesh",2017,29.3611634885499,1182.47705121362,96.7600050211922,-38.0376780440924
"Bangladesh",2018,30.4104875419203,1336.29402877332,102.058984671557,-41.2380095877167
"Bangladesh",2019,32.9155197807202,1904.70139591258,118.455574039166,-52.6245344777252
"Bangladesh",2020,26.9300259406456,1333.19973550811,98.4955211455833,-44.6354692642921
"Belarus",2008,42.2258019715299,1284.98778361326,112.485385442603,-28.0337814995434
"Belarus",2009,41.6447976046353,1401.65549602912,115.024629667304,-31.7350344580334
"Belarus",2010,44.9773173885114,1409.43264864753,118.560443599922,-28.605808822899
