"COUNTRY","year_offsetted","value","variance","upr","lwr"
"Italy",2010,8.27933588311568,5884.26112838986,158.628853843176,-142.070182076945
"Italy",2011,12.7608095190439,5880.37626120908,163.060687912411,-137.539068874323
"Italy",2012,14.492098052714,5817.92208042222,163.991694922237,-135.007498816809
"Italy",2013,8.63657207214343,5820.37125354863,158.167633085006,-140.894488940719
"Italy",2014,0,5874.65163917666,150.226701145506,-150.226701145506
"Italy",2015,0,5902.65782571345,150.584362744811,-150.584362744811
"Italy",2016,12.521565896454,5932.27905543695,163.483293560676,-138.440161767768
"Italy",2017,8.62638259777276,5885.36056647324,158.989945844204,-141.737180648659
"Italy",2018,2.57573251237833,5924.68877206026,153.440852360363,-148.289387335606
"Italy",2019,39.0778859105976,5975.48419973288,190.588347931192,-112.432576109996
"Italy",2020,44.5540206023372,5981.27041066013,196.137820559958,-107.029779355283
"Jamaica",2008,59.3496567293502,2877.35713199904,164.486021315004,-45.7867078563035
"Jamaica",2009,55.978255635167,2865.82443865431,160.903710904774,-48.9471996344404
"Jamaica",2010,56.2337260988611,2869.61112285485,161.22847877517,-48.7610265774473
"Jamaica",2011,58.4596461345647,2880.8141492548,163.659150105721,-46.7398578365912
"Jamaica",2012,61.7786705728315,2860.17107898134,166.60058248544,-43.0432413397773
"Jamaica",2013,63.2425680994278,2871.54515724582,168.27269652016,-41.7875603213046
"Jamaica",2014,52.8584109475643,2878.61792857405,158.017807267675,-52.3009853725463
"Jamaica",2015,44.0354881658854,2871.71675040289,149.068754650118,-60.9977783183469
"Jamaica",2016,59.0153481011446,2881.37383397669,164.225070658544,-46.1943744562543
"Jamaica",2017,56.1650900441274,2889.68902138221,161.526512512419,-49.1963324241647
"Jamaica",2018,56.9436554862747,2892.3587686228,162.353737762788,-48.4664267902387
"Jamaica",2019,48.4237846836298,2899.13873082953,153.95734023993,-57.1097708726704
"Jamaica",2020,48.607578212159,2901.82369652915,154.189991106478,-56.9748346821596
"Jordan",2008,13.3859570523685,2808.5559054519,117.257745168218,-90.4858310634814
"Jordan",2009,25.5897593339476,2813.19297746484,129.547260949891,-78.367742281996
"Jordan",2010,28.1396071799707,2823.48498607384,132.287098376357,-76.0078840164152
"Jordan",2011,22.0054796290436,2833.86176371968,126.344174999005,-82.3332157409173
"Jordan",2012,26.6148840717107,2825.90926729991,130.807076875487,-77.5773087320659
"Jordan",2013,23.9068737925307,2826.07924677858,128.102200148489,-80.2884525634274
"Jordan",2014,34.1394920954347,2831.4299655752,138.433410210317,-70.1544260194472
"Jordan",2015,34.0429206261864,2830.10836316686,138.312495708958,-70.2266544565856
"Jordan",2016,28.7417458071734,2825.28589724395,132.92244604888,-75.4389544345332
"Jordan",2017,17.9606185999598,2824.15755243825,122.120513249709,-86.199276049789
"Jordan",2018,24.6986497746695,2827.75719019927,128.924903769858,-79.5276042205189
"Jordan",2019,14.2614434845522,2822.83149988418,118.396881688629,-89.8739947195245
"Jordan",2020,8.77195794589456,2820.10664687935,112.857123529909,-95.3132076381199
"Kazakhstan",2008,840.880638857306,32172.2752101287,1192.43861764207,489.322660072539
"Kazakhstan",2009,721.647996569529,32265.0019629108,1073.7122400546,369.583753084454
"Kazakhstan",2010,623.050991643702,32494.7013194673,976.366211509569,269.735771777836
"Kazakhstan",2011,712.485848825876,32737.8161054966,1067.1203005517,357.851397100052
