"COUNTRY","year_offsetted","value","variance","upr","lwr"
"Albania",2008,21.5494462227288,133.399258380295,44.1871711745375,-1.08827872907982
"Albania",2009,21.5175089160045,158.497848623153,46.1931109404882,-3.15809310847926
"Albania",2010,21.4967015471753,199.752017208904,49.1980977089164,-6.20469461456578
"Albania",2011,21.5536033438463,226.608566384786,51.0585091837874,-7.95130249609488
"Albania",2012,21.5049708266697,179.129761802429,47.737486774253,-4.7275451209136
"Albania",2013,21.5089234950979,159.214638677582,46.2402590017744,-3.22241201157861
"Albania",2014,21.5528789913423,192.668180486734,48.758651947791,-5.6528939651064
"Albania",2015,21.4777186000717,186.108457047973,48.216346997869,-5.2609097977256
"Albania",2016,21.6071158260085,206.65366560818,49.7830048412708,-6.56877318925392
"Albania",2017,21.4820420820702,197.206566931022,49.0063721833137,-6.04228801917322
"Albania",2018,21.4815577122871,181.602650619179,47.8945231387333,-4.93140771415899
"Albania",2019,21.5473784459947,194.510455234223,48.8829114539277,-5.7881545619382
"Albania",2020,21.4727254910395,204.553693795809,49.5050901805548,-6.55963919847571
"Armenia",2008,44.9584284197337,297.937318590377,78.7897157599575,11.1271410795098
"Armenia",2009,44.9750340925534,318.305182900741,79.9436084219635,10.0064597631431
"Armenia",2010,44.9569407786493,331.468650245361,80.6412505909825,9.27263096631615
"Armenia",2011,44.9732783420723,388.684714104449,83.6148517792869,6.33170490485765
"Armenia",2012,44.9935021046728,338.234197010768,81.0401453774737,8.94685883187181
"Armenia",2013,44.8454441651411,310.206629261274,79.3663043364941,10.324583993788
"Armenia",2014,44.8340320885384,322.934213540597,80.0559581394737,9.61210603760305
"Armenia",2015,44.9413034497266,333.79135244757,80.7504204391552,9.13218646029804
"Armenia",2016,44.9728795527677,358.768970741515,82.0976270670687,7.84813203846659
"Armenia",2017,45.0494808323653,349.17307002025,81.674380365194,8.42458129953663
"Armenia",2018,45.0509997464831,338.272646226706,81.0996917857862,9.00230770718004
"Armenia",2019,44.6829054985923,331.493301553095,80.3685422064664,8.99726879071824
"Armenia",2020,44.8169658771881,327.00391353637,80.2601349544775,9.37379679989882
"Aruba",2008,0,3184.45954821772,110.604791037428,-110.604791037428
"Aruba",2009,0,3150.18411589091,110.007941984234,-110.007941984234
"Aruba",2010,0,2996.77319055035,107.29587079109,-107.29587079109
"Aruba",2011,0,3207.53743264586,111.004845845811,-111.004845845811
"Aruba",2012,0,3100.94654358812,109.144840656112,-109.144840656112
"Aruba",2013,0,2984.91480211212,107.083372676592,-107.083372676592
"Aruba",2014,0,3013.97013233681,107.603288334442,-107.603288334442
"Aruba",2015,0,3038.12554758823,108.033620246731,-108.033620246731
"Aruba",2016,0,2993.90404137803,107.244495268325,-107.244495268325
"Aruba",2017,0,3035.40482207344,107.985235863415,-107.985235863415
"Aruba",2018,0,3149.45596829255,109.995227386431,-109.995227386431
"Aruba",2019,0,3083.11302829136,108.83054263158,-108.83054263158
"Aruba",2020,0,3036.653213741,108.00743949334,-108.00743949334
"Australia",2008,477.066509958649,6064.15463647327,629.696967114079,324.436052803218
"Australia",2009,476.958844368635,6233.94862750112,631.71134692484,322.20634181243
"Australia",2010,476.986798730085,6472.28920964411,634.669854978272,319.303742481898
"Australia",2011,477.00156631756,6688.55393028359,637.297382790035,316.705749845085
"Australia",2012,476.713242845037,6469.62635639289,634.363858482017,319.062627208057
"Australia",2013,476.942733395938,6381.62581603493,633.517487858079,320.367978933797
"Australia",2014,476.753613257856,6253.79356750861,631.752237022524,321.754989493188
"Australia",2015,476.861401812022,6193.92039811192,631.116270783432,322.606532840612
"Australia",2016,476.411003395741,6235.88651833354,631.187557333442,321.63444945804
"Australia",2017,476.513373373417,6263.33408980533,631.630181745031,321.396565001803
"Australia",2018,476.322766543763,6324.88848753236,632.199934896618,320.445598190908
"Australia",2019,476.543743323476,6313.28259120995,632.277832085032,320.809654561921
"Australia",2020,476.101465697001,6312.56889918718,631.826751643496,320.376179750507
"Bangladesh",2008,0,798.503415491141,55.385293363408,-55.385293363408
"Bangladesh",2009,0,804.412429250876,55.5898442902133,-55.5898442902133
"Bangladesh",2010,0,834.077988978263,56.605600451359,-56.605600451359
"Bangladesh",2011,0,842.801325026801,56.9008398024402,-56.9008398024402
"Bangladesh",2012,0,831.902295259141,56.5317243454285,-56.5317243454285
"Bangladesh",2013,0,832.409837434455,56.548966670384,-56.548966670384
"Bangladesh",2014,0,843.210948694509,56.9146657769755,-56.9146657769755
"Bangladesh",2015,0,842.15145607668,56.8788979645718,-56.8788979645718
"Bangladesh",2016,0,839.855565738395,56.8013128487416,-56.8013128487416
"Bangladesh",2017,0,841.965669303969,56.872623600447,-56.872623600447
"Bangladesh",2018,0,836.631375675888,56.6921784093405,-56.6921784093405
"Bangladesh",2019,0,839.387903366252,56.7854961197998,-56.7854961197998
"Bangladesh",2020,0,846.593070784484,57.0286940120995,-57.0286940120995
"Belarus",2008,34.7306871370223,303.811084075891,68.893834834299,0.567539439745595
"Belarus",2009,34.7052545689343,387.036371609895,73.2648049446398,-3.85429580677123
"Belarus",2010,34.7824852721287,476.827866138576,77.5818068854201,-8.0168363411627
"Belarus",2011,34.9228973220453,536.425927311005,80.3182037133228,-10.4724090692322
"Belarus",2012,34.7035117728108,445.480108747345,76.0720552057599,-6.66503166013838
"Belarus",2013,34.7639425556793,354.645575964475,71.674732910603,-2.14684779924439
"Belarus",2014,34.7477302036607,360.540430214739,71.9640185289751,-2.46855812165384
"Belarus",2015,34.7061367923027,446.106649503662,76.1037611774443,-6.69148759283888
"Belarus",2016,34.6418789915918,513.464303564188,79.0549904404893,-9.77123245730557
"Belarus",2017,34.4392654200489,680.585799960599,85.5718226524877,-16.69329181239
"Belarus",2018,34.8309604353081,681.082781826804,85.9821834379485,-16.3202625673324
"Belarus",2019,34.6057765407401,679.931151055125,85.7137359002506,-16.5021828187703
"Belarus",2020,34.9542148488151,695.665083546533,86.6501236323191,-16.7416939346888
"Bosnia and Herzegovina",2008,81.8891475680461,3790.34833905995,202.558125268749,-38.7798301326568
"Bosnia and Herzegovina",2009,82.3647746515683,3952.35451989477,205.585572910741,-40.8560236076044
"Bosnia and Herzegovina",2010,82.2074629586147,3953.20754381037,205.441557673924,-41.0266317566951
"Bosnia and Herzegovina",2011,82.3973519573877,3979.99990128227,206.048343141308,-41.2536392265327
"Bosnia and Herzegovina",2012,82.7934057061096,3975.61400802008,206.376247448845,-40.7894360366257
"Bosnia and Herzegovina",2013,82.4086572512318,3949.45849004224,205.584303120642,-40.7669886181781
"Bosnia and Herzegovina",2014,82.2704054348372,3992.92538926194,206.122018970506,-41.5812081008316
"Bosnia and Herzegovina",2015,82.5842354285147,4048.9539252409,207.301761860069,-42.1332910030396
"Bosnia and Herzegovina",2016,82.575624886649,4143.71111159345,208.74408610536,-43.592836332062
"Bosnia and Herzegovina",2017,82.4417497410997,4101.23380761039,207.961866835198,-43.0783673529983
"Bosnia and Herzegovina",2018,82.4155473010382,4006.29944998094,206.474404167635,-41.6433095655587
"Bosnia and Herzegovina",2019,81.9937214347683,3983.27401144889,205.695562336115,-41.7081194665782
